OrderedDict([('biweek', '1'), ('year', '1920'), ('loc', 'BALTIMORE'), ('cases', '181'), ('pop', '733826')])
OrderedDict([('biweek', '2'), ('year', '1920'), ('loc', 'BALTIMORE'), ('cases', '274'), ('pop', '734380.7846')])
OrderedDict([('biweek', '3'), ('year', '1920'), ('loc', 'BALTIMORE'), ('cases', '270'), ('pop', '734932.2288')])
OrderedDict([('biweek', '4'), ('year', '1920'), ('loc', 'BALTIMORE'), ('cases', '323'), ('pop', '735480.3461')])
OrderedDict([('biweek', '5'), ('year', '1920'), ('loc', 'BALTIMORE'), ('cases', '308'), ('pop', '736025.1501')])
OrderedDict([('biweek', '6'), ('year', '1920'), ('loc', 'BALTIMORE'), ('cases', '372'), ('pop', '736566.6544')])
OrderedDict([('biweek', '7'), ('year', '1920'), ('loc', 'BALTIMORE'), ('cases', '380'), ('pop', '737104.8725')])
OrderedDict([('biweek', '8'), ('year', '1920'), ('loc', 'BALTIMORE'), ('cases', '528'), ('pop', '737639.818')])
OrderedDict([('biweek', '9'), ('year', '1920'), ('loc', 'BALTIMORE'), ('cases', '560'), ('pop', '738171.5045')])
OrderedDict([('biweek', '10'), ('year', '1920'), ('loc', 'BALTIMORE'), ('cases', '560'), ('pop', '738699.9455')])
OrderedDict([('biweek', '11'), ('year', '1920'), ('loc', 'BALTIMORE'), ('cases', '503'), ('pop', '739225.1545')])
OrderedDict([('biweek', '12'), ('year', '1920'), ('loc', 'BALTIMORE'), ('cases', '306'), ('pop', '739747.1453')])
OrderedDict([('biweek', '13'), ('year', '1920'), ('loc', 'BALTIMORE'), ('cases', '158'), ('pop', '740265.9312')])
OrderedDict([('biweek', '14'), ('year', '1920'), ('loc', 'BALTIMORE'), ('cases', '100'), ('pop', '740781.526')])
OrderedDict([('biweek', '15'), ('year', '1920'), ('loc', 'BALTIMORE'), ('cases', '42'), ('pop', '741293.943')])
OrderedDict([('biweek', '16'), ('year', '1920'), ('loc', 'BALTIMORE'), ('cases', '18'), ('pop', '741803.196')])
OrderedDict([('biweek', '17'), ('year', '1920'), ('loc', 'BALTIMORE'), ('cases', '16'), ('pop', '742309.2985')])
OrderedDict([('biweek', '18'), ('year', '1920'), ('loc', 'BALTIMORE'), ('cases', '16'), ('pop', '742812.2639')])
OrderedDict([('biweek', '19'), ('year', '1920'), ('loc', 'BALTIMORE'), ('cases', '15'), ('pop', '743312.106')])
OrderedDict([('biweek', '20'), ('year', '1920'), ('loc', 'BALTIMORE'), ('cases', '6'), ('pop', '743808.8383')])
OrderedDict([('biweek', '21'), ('year', '1920'), ('loc', 'BALTIMORE'), ('cases', '12'), ('pop', '744302.4742')])
OrderedDict([('biweek', '22'), ('year', '1920'), ('loc', 'BALTIMORE'), ('cases', '19'), ('pop', '744793.0275')])
OrderedDict([('biweek', '23'), ('year', '1920'), ('loc', 'BALTIMORE'), ('cases', '15'), ('pop', '745280.5116')])
OrderedDict([('biweek', '24'), ('year', '1920'), ('loc', 'BALTIMORE'), ('cases', '26'), ('pop', '745764.9402')])
OrderedDict([('biweek', '25'), ('year', '1920'), ('loc', 'BALTIMORE'), ('cases', '38'), ('pop', '746246.3267')])
OrderedDict([('biweek', '26'), ('year', '1920'), ('loc', 'BALTIMORE'), ('cases', '29'), ('pop', '746724.6848')])
OrderedDict([('biweek', '1'), ('year', '1920'), ('loc', 'BOSTON'), ('cases', '520'), ('pop', '748060')])
OrderedDict([('biweek', '2'), ('year', '1920'), ('loc', 'BOSTON'), ('cases', '640'), ('pop', '748288.347')])
OrderedDict([('biweek', '3'), ('year', '1920'), ('loc', 'BOSTON'), ('cases', '604'), ('pop', '748516.1637')])
OrderedDict([('biweek', '4'), ('year', '1920'), ('loc', 'BOSTON'), ('cases', '512'), ('pop', '748743.447')])
OrderedDict([('biweek', '5'), ('year', '1920'), ('loc', 'BOSTON'), ('cases', '435'), ('pop', '748970.1942')])
OrderedDict([('biweek', '6'), ('year', '1920'), ('loc', 'BOSTON'), ('cases', '401'), ('pop', '749196.4023')])
OrderedDict([('biweek', '7'), ('year', '1920'), ('loc', 'BOSTON'), ('cases', '456'), ('pop', '749422.0684')])
OrderedDict([('biweek', '8'), ('year', '1920'), ('loc', 'BOSTON'), ('cases', '466'), ('pop', '749647.1896')])
OrderedDict([('biweek', '9'), ('year', '1920'), ('loc', 'BOSTON'), ('cases', '459'), ('pop', '749871.763')])
OrderedDict([('biweek', '10'), ('year', '1920'), ('loc', 'BOSTON'), ('cases', '472'), ('pop', '750095.7858')])
OrderedDict([('biweek', '11'), ('year', '1920'), ('loc', 'BOSTON'), ('cases', '444'), ('pop', '750319.255')])
OrderedDict([('biweek', '12'), ('year', '1920'), ('loc', 'BOSTON'), ('cases', '305'), ('pop', '750542.1678')])
OrderedDict([('biweek', '13'), ('year', '1920'), ('loc', 'BOSTON'), ('cases', '160'), ('pop', '750764.5212')])
OrderedDict([('biweek', '14'), ('year', '1920'), ('loc', 'BOSTON'), ('cases', '106'), ('pop', '750986.3124')])
OrderedDict([('biweek', '15'), ('year', '1920'), ('loc', 'BOSTON'), ('cases', '69'), ('pop', '751207.5384')])
OrderedDict([('biweek', '16'), ('year', '1920'), ('loc', 'BOSTON'), ('cases', '27'), ('pop', '751428.1964')])
OrderedDict([('biweek', '17'), ('year', '1920'), ('loc', 'BOSTON'), ('cases', '14'), ('pop', '751648.2835')])
OrderedDict([('biweek', '18'), ('year', '1920'), ('loc', 'BOSTON'), ('cases', '12'), ('pop', '751867.7967')])
