OrderedDict([('biweek', '1'), ('year', '1906'), ('loc', 'WORCESTER'), ('cases', 'NA'), ('pop', '134653.4903')])
OrderedDict([('biweek', '2'), ('year', '1906'), ('loc', 'WORCESTER'), ('cases', 'NA'), ('pop', '134754.7662')])
OrderedDict([('biweek', '3'), ('year', '1906'), ('loc', 'WORCESTER'), ('cases', 'NA'), ('pop', '134856.119')])
OrderedDict([('biweek', '4'), ('year', '1906'), ('loc', 'WORCESTER'), ('cases', 'NA'), ('pop', '134957.5507')])
OrderedDict([('biweek', '5'), ('year', '1906'), ('loc', 'WORCESTER'), ('cases', 'NA'), ('pop', '135059.0636')])
OrderedDict([('biweek', '6'), ('year', '1906'), ('loc', 'WORCESTER'), ('cases', 'NA'), ('pop', '135160.6598')])
OrderedDict([('biweek', '7'), ('year', '1906'), ('loc', 'WORCESTER'), ('cases', 'NA'), ('pop', '135262.3413')])
OrderedDict([('biweek', '8'), ('year', '1906'), ('loc', 'WORCESTER'), ('cases', 'NA'), ('pop', '135364.1103')])
OrderedDict([('biweek', '9'), ('year', '1906'), ('loc', 'WORCESTER'), ('cases', 'NA'), ('pop', '135465.969')])
OrderedDict([('biweek', '10'), ('year', '1906'), ('loc', 'WORCESTER'), ('cases', 'NA'), ('pop', '135567.9195')])
OrderedDict([('biweek', '11'), ('year', '1906'), ('loc', 'WORCESTER'), ('cases', 'NA'), ('pop', '135669.9639')])
OrderedDict([('biweek', '12'), ('year', '1906'), ('loc', 'WORCESTER'), ('cases', 'NA'), ('pop', '135772.1043')])
OrderedDict([('biweek', '13'), ('year', '1906'), ('loc', 'WORCESTER'), ('cases', 'NA'), ('pop', '135874.3429')])
OrderedDict([('biweek', '14'), ('year', '1906'), ('loc', 'WORCESTER'), ('cases', 'NA'), ('pop', '135976.6818')])
OrderedDict([('biweek', '15'), ('year', '1906'), ('loc', 'WORCESTER'), ('cases', 'NA'), ('pop', '136079.1232')])
OrderedDict([('biweek', '16'), ('year', '1906'), ('loc', 'WORCESTER'), ('cases', 'NA'), ('pop', '136181.6691')])
OrderedDict([('biweek', '17'), ('year', '1906'), ('loc', 'WORCESTER'), ('cases', 'NA'), ('pop', '136284.3217')])
OrderedDict([('biweek', '18'), ('year', '1906'), ('loc', 'WORCESTER'), ('cases', 'NA'), ('pop', '136387.0832')])
OrderedDict([('biweek', '19'), ('year', '1906'), ('loc', 'WORCESTER'), ('cases', 'NA'), ('pop', '136489.9556')])
OrderedDict([('biweek', '20'), ('year', '1906'), ('loc', 'WORCESTER'), ('cases', 'NA'), ('pop', '136592.9411')])
OrderedDict([('biweek', '21'), ('year', '1906'), ('loc', 'WORCESTER'), ('cases', 'NA'), ('pop', '136696.0418')])
OrderedDict([('biweek', '22'), ('year', '1906'), ('loc', 'WORCESTER'), ('cases', 'NA'), ('pop', '136799.2599')])
OrderedDict([('biweek', '23'), ('year', '1906'), ('loc', 'WORCESTER'), ('cases', '2'), ('pop', '136902.5975')])
